collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
3,-1,10554,-3.20813,0.216949,2.68727,-0.584438,211,10,4,11.9098,0.131836,-1,36.349,1,49.901356,1
29,-1,26361,-3.15665,0.342532,4.03065,-2.98935,211,9,3,89.0221,0.191406,0.240234,21.2921,1,12.473938,1
29,4,26361,-3.24907,0.975006,12.5801,-3.04325,211,9,0,89.0221,5824,0.240234,21.2921,1,12.473938,1
67,-1,63424,-3.84811,0.168865,3.96205,0.1707,211,10,3,57.2396,0.0849609,0.828125,29.963,1,12.473598,1
67,6,63424,-3.67413,0.358952,7.07845,1.23513,211,10,0,57.2396,2720,0.828125,29.963,1,12.473598,1
99,-1,84673,-4.1213,0.0956831,2.9497,2.21465,211,10,3,71.1831,0.925781,1.38281,25.2885,1,237.037598,-1
99,8,84673,-0.975468,0.0412637,0.0625026,-5.90538,211,10,0,71.1831,450560,1.38281,25.2885,1,237.037598,-1
188,11,152986,-2.81077,0.617891,5.15409,-2.73777,211,10,2,83.7275,5504,-1,53.9139,1,199.593796,-1
188,-1,152986,-2.31931,0.344086,1.76636,-2.2381,211,10,4,83.7275,0.425781,-1,53.9139,1,199.593796,-1
500,-1,381778,-2.9508,0.447748,4.29244,-2.31332,321,10,3,68.911,0.142578,0.898438,37.5229,1,137.23584,1
500,12,381778,-3.42354,0.453198,6.95891,-2.41945,321,10,0,68.911,47.5,0.898438,37.5229,1,137.23584,1
513,-1,395322,-3.74243,0.33941,7.16566,-2.80522,321,10,3,49.7225,0.0766602,0.0476074,30.5687,1,12.453758,1
513,14,395322,-3.51185,0.573388,9.61578,-2.76295,321,10,0,49.7225,10.1875,0.0476074,30.5687,1,12.453758,1
626,-5,483839,-2.65069,0.624914,4.44766,2.88827,211,8,3,69.8491,0.494141,0.144531,86.2444,0,12.475924,-1
626,18,483839,-2.43308,1.69536,9.73282,3.05903,211,8,0,69.8491,1304,0.144531,86.2444,0,12.475924,-1
681,-5,526904,-3.77488,0.718093,15.6599,-2.99415,411,10,3,74.4968,0.0598145,0.535156,18.9602,1,12.467705,-1
681,20,526904,-5.48752,0.179838,21.73,0.888127,411,10,0,74.4968,1.64E+06,0.535156,18.9602,1,12.467705,1
