collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
1140,-118,1276035,-3.68789,0.717087,14.3366,-3.03292,321,9,3,82.3616,0.100586,0.796875,20.0388,1,1135.26062,-1
1484,-118,1543511,-3.13653,0.601292,6.9351,1.06825,211,11,3,51.6505,0.0991211,0.486328,37.136,0,361.782013,1
282,-1,221455,-2.96372,1.23532,11.9959,0.135652,321,12,3,91.9287,0.0761719,0.75,53.6593,1,37.417114,1
347,-1,280210,-2.76289,0.506492,4.02881,-0.549596,421,11,3,129.43,0.296875,0.542969,34.4726,1,12.485006,-1
518,-1,411555,-2.90246,0.630493,5.76078,0.539469,321,10,3,107.149,0.059082,0.185547,37.2918,1,12.463653,-1
589,-5,471545,-3.5689,0.86927,15.432,-2.33833,321,10,3,42.7659,0.160156,1.03906,28.6868,1,12.473339,-1
602,-5,483443,-2.6696,0.582108,4.22131,-2.66211,211,10,3,151.466,0.139648,1.96094,36.0308,1,960.60907,-1
1275,-6,1018574,-3.83941,0.72779,16.9283,1.25392,421,10,3,79.1705,0.0581055,1.72656,19.9379,1,12.470811,-1
105,-1,79549,-2.69678,0.81133,6.04411,0.165874,211,11,3,55.5671,0.15918,0.207031,62.7859,1,87.323944,-1
318,-1,242865,-3.28401,1.016,13.5738,1.11881,521,10,3,32.9962,0.0615234,1.21094,37.4874,1,311.871277,-1
433,-1,326214,-3.0908,10.3182,113.707,2.51343,511,10,3,52.1102,0.11084,0.439453,45.5733,1,286.9841,1
543,-1,418389,-2.99372,0.548804,5.49075,0.128717,211,11,3,57.3525,0.0603027,0.542969,60.954,1,411.68158,-1
1325,-9,994103,-3.08998,1.8148,19.9829,-0.148962,321,10,3,56.4694,0.150391,0.878906,43.6809,1,37.425331,-1
25,-1,295728,-3.29672,0.737088,9.97311,-2.40038,321,11,3,22.8123,0.175781,0.875,39.0907,1,-212.075211,1
312,-135,632153,-3.23066,0.783024,9.91931,-1.90193,431,12,3,26.389,0.112793,0.5,39.7061,1,461.579926,1
375,-135,687666,-2.81684,0.624438,5.24018,-2.38622,321,10,3,209.016,0.234375,1.21094,21.4663,1,311.8992,1
811,-136,1022436,-3.0729,0.757747,8.20289,1.08589,211,10,3,3.87767,0.632812,1.10156,46.9275,1,12.48413,1
987,-136,1143157,-3.18959,0.601336,7.31215,2.12819,211,10,3,88.3036,0.0810547,1.46094,29.7978,1,187.132858,1
1170,-137,1273410,-3.10241,0.53574,5.97256,-0.257123,211,10,3,44.7732,0.337891,0.523438,50.7478,1,212.082214,1
1300,-137,1369129,-3.14763,0.716961,8.36109,2.54161,321,10,3,69.7021,0.117676,0.867188,36.5079,1,37.430351,1
1391,-137,1451052,-3.09584,0.531361,5.88511,0.320523,211,11,3,34.3766,0.283203,0.351562,43.023,0,985.545593,1
18,-1,34025,-3.60273,0.509041,9.3474,1.68377,321,11,3,47.2479,0.0878906,0.0917969,23.6624,1,12.475289,-1
29,-1,47803,-3.54853,1.25828,21.8883,-1.75297,211,13,3,107.911,0.108398,0.308594,24.1988,0,1060.413208,-1
312,-5,568187,-2.63801,0.791574,5.5635,0.591568,211,10,3,54.1877,0.0805664,0.558594,63.9209,1,-1160.221069,1
458,-5,810456,-3.47753,1.93322,31.3282,-0.75942,411,10,3,67.6851,0.151367,0.198242,29.2789,1,-486.522156,1
513,-6,913228,-2.76744,1.31694,10.5227,2.18771,321,11,3,69.5917,0.101562,0.134766,65.4033,1,12.475165,1
589,-6,1029643,-3.0948,1.20161,13.2948,-2.26813,211,10,3,61.5535,0.11084,1.22656,43.5306,0,1010.529724,-1
658,-6,1151622,-3.09536,0.81732,9.04787,2.35196,321,10,3,253.405,0.154297,1.15625,22.0192,1,62.349636,1
71,-1,161087,-2.85267,0.604933,5.26041,-0.770834,321,13,3,21.4117,0.158203,0.902344,53.8344,1,-1185.163452,1
298,-8,584582,-3.52699,0.818055,13.9278,-1.69033,211,12,3,81.9834,0.090332,0.365234,29.4898,1,436.638153,1
598,-9,1149264,-2.70249,0.764607,5.7284,-0.441113,211,12,3,308.324,0.151367,0.621094,16.3819,1,137.209656,-1
41,-173,459442,-3.10177,0.529438,5.89856,-1.01452,211,10,3,18.2888,0.143555,0.875,45.5446,1,62.3769,1
49,-173,474292,-2.83803,0.631222,5.40975,-1.99092,431,10,3,80.9352,0.263672,1.5,48.6399,1,162.180359,-1
81,-173,525418,-2.87001,1.49108,13.1916,-0.419713,411,10,3,46.2134,0.0712891,1.21094,60.0001,1,-37.428627,-1
181,-173,704800,-2.6283,0.768336,5.34857,2.20004,211,11,3,50.2056,0.183594,2.92188,79.068,1,112.268738,1
637,-175,1593215,-3.02294,0.545551,5.61926,-0.102933,211,10,3,157.934,0.230469,0.15332,25.6773,1,-12.48544,-1
658,-175,1635183,-3.44982,0.917049,14.4556,1.58357,211,11,3,66.5294,0.304688,0.292969,26.8255,0,187.137451,-1
